"","source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"86","Hematopoietic Stem cells 1","Hematopoietic Stem cells 1","IL1B","IL1R1_IL1RAP",6.45942826224635e-05,0,"IL1B_IL1R1_IL1RAP","IL1B - (IL1R1+IL1RAP)","IL1","Secreted Signaling","KEGG: hsa04060"
"87","B cells 1","Hematopoietic Stem cells 2","IL1B","IL1R1_IL1RAP",8.50195309190536e-05,0,"IL1B_IL1R1_IL1RAP","IL1B - (IL1R1+IL1RAP)","IL1","Secreted Signaling","KEGG: hsa04060"
"88","B cells 1","Hematopoietic Stem cells 3","IL1B","IL1R1_IL1RAP",2.6275794210658e-05,0.01,"IL1B_IL1R1_IL1RAP","IL1B - (IL1R1+IL1RAP)","IL1","Secreted Signaling","KEGG: hsa04060"
"89","B cells 1","B cells 1","IL1B","IL1R2",0.000958244629922726,0,"IL1B_IL1R2","IL1B - IL1R2","IL1","Secreted Signaling","KEGG: hsa04060"
"90","Hematopoietic Stem cells 1","B cells 1","IL1B","IL1R2",0.000347260467837349,0,"IL1B_IL1R2","IL1B - IL1R2","IL1","Secreted Signaling","KEGG: hsa04060"
"91","Hematopoietic Stem cells 2","B cells 1","IL1B","IL1R2",0.000164281800471676,0.02,"IL1B_IL1R2","IL1B - IL1R2","IL1","Secreted Signaling","KEGG: hsa04060"
"92","B cells 1","Hematopoietic Stem cells 1","IL1B","IL1R2",0.000347268996278742,0,"IL1B_IL1R2","IL1B - IL1R2","IL1","Secreted Signaling","KEGG: hsa04060"
"93","Hematopoietic Stem cells 1","Hematopoietic Stem cells 1","IL1B","IL1R2",0.00012584760753851,0,"IL1B_IL1R2","IL1B - IL1R2","IL1","Secreted Signaling","KEGG: hsa04060"
"94","B cells 1","Hematopoietic Stem cells 2","IL1B","IL1R2",0.000164299627023915,0.03,"IL1B_IL1R2","IL1B - IL1R2","IL1","Secreted Signaling","KEGG: hsa04060"
"95","B cells 1","Hematopoietic Stem cells 3","IL1B","IL1R2",5.01560518620636e-05,0.02,"IL1B_IL1R2","IL1B - IL1R2","IL1","Secreted Signaling","KEGG: hsa04060"
"96","B cells 1","Hematopoietic Stem cells 1","TNF","TNFRSF1A",0.000149321668490299,0,"TNF_TNFRSF1A","TNF - TNFRSF1A","TNF","Secreted Signaling","KEGG: hsa04060"
"97","Hematopoietic Stem cells 1","Hematopoietic Stem cells 1","TNF","TNFRSF1A",5.41115513400582e-05,0,"TNF_TNFRSF1A","TNF - TNFRSF1A","TNF","Secreted Signaling","KEGG: hsa04060"
"98","B cells 1","Hematopoietic Stem cells 1","TNF","TNFRSF1B",5.24504507173845e-06,0,"TNF_TNFRSF1B","TNF - TNFRSF1B","TNF","Secreted Signaling","KEGG: hsa04060"
"99","Hematopoietic Stem cells 1","Hematopoietic Stem cells 1","TNF","TNFRSF1B",1.90071225797168e-06,0,"TNF_TNFRSF1B","TNF - TNFRSF1B","TNF","Secreted Signaling","KEGG: hsa04060"
"100","B cells 1","Hematopoietic Stem cells 1","LTA","TNFRSF1A",7.82149582818766e-05,0,"LTA_TNFRSF1A","LTA - TNFRSF1A","LT","Secreted Signaling","KEGG: hsa04060"
"101","Hematopoietic Stem cells 1","Hematopoietic Stem cells 1","LTA","TNFRSF1A",2.84760592768214e-05,0,"LTA_TNFRSF1A","LTA - TNFRSF1A","LT","Secreted Signaling","KEGG: hsa04060"
"102","Hematopoietic Stem cells 2","Hematopoietic Stem cells 1","LTA","TNFRSF1A",5.32402501341513e-05,0,"LTA_TNFRSF1A","LTA - TNFRSF1A","LT","Secreted Signaling","KEGG: hsa04060"
"103","Hematopoietic Stem cells 3","Hematopoietic Stem cells 1","LTA","TNFRSF1A",1.4446793502345e-05,0,"LTA_TNFRSF1A","LTA - TNFRSF1A","LT","Secreted Signaling","KEGG: hsa04060"
"104","B cells 1","Hematopoietic Stem cells 1","LTA","TNFRSF1B",2.74493073329185e-06,0,"LTA_TNFRSF1B","LTA - TNFRSF1B","LT","Secreted Signaling","KEGG: hsa04060"
"105","Hematopoietic Stem cells 1","Hematopoietic Stem cells 1","LTA","TNFRSF1B",9.99363389312489e-07,0,"LTA_TNFRSF1B","LTA - TNFRSF1B","LT","Secreted Signaling","KEGG: hsa04060"
"106","Hematopoietic Stem cells 2","Hematopoietic Stem cells 1","LTA","TNFRSF1B",1.86865331827977e-06,0,"LTA_TNFRSF1B","LTA - TNFRSF1B","LT","Secreted Signaling","KEGG: hsa04060"
"107","Hematopoietic Stem cells 3","Hematopoietic Stem cells 1","LTA","TNFRSF1B",5.0700030300085e-07,0,"LTA_TNFRSF1B","LTA - TNFRSF1B","LT","Secreted Signaling","KEGG: hsa04060"
"108","B cells 1","Hematopoietic Stem cells 1","LTA","TNFRSF14",1.33373111729455e-06,0,"LTA_TNFRSF14","LTA - TNFRSF14","LT","Secreted Signaling","KEGG: hsa04060"
"109","Hematopoietic Stem cells 1","Hematopoietic Stem cells 1","LTA","TNFRSF14",4.85579525562698e-07,0,"LTA_TNFRSF14","LTA - TNFRSF14","LT","Secreted Signaling","KEGG: hsa04060"
"110","Hematopoietic Stem cells 2","Hematopoietic Stem cells 1","LTA","TNFRSF14",9.0795957063818e-07,0,"LTA_TNFRSF14","LTA - TNFRSF14","LT","Secreted Signaling","KEGG: hsa04060"
"111","Hematopoietic Stem cells 3","Hematopoietic Stem cells 1","LTA","TNFRSF14",2.4634572090122e-07,0,"LTA_TNFRSF14","LTA - TNFRSF14","LT","Secreted Signaling","KEGG: hsa04060"
"112","Hematopoietic Stem cells 1","B cells 1","TNFSF10","TNFRSF10A",1.7399639243576e-08,0,"TNFSF10_TNFRSF10B","TNFSF10 - TNFRSF10B","TRAIL","Secreted Signaling","KEGG: hsa04060"
"113","B cells 1","Hematopoietic Stem cells 1","TNFSF10","TNFRSF10A",1.7399639243576e-08,0,"TNFSF10_TNFRSF10B","TNFSF10 - TNFRSF10B","TRAIL","Secreted Signaling","KEGG: hsa04060"
"114","Hematopoietic Stem cells 1","Hematopoietic Stem cells 1","TNFSF10","TNFRSF10A",6.98215927888176e-09,0,"TNFSF10_TNFRSF10B","TNFSF10 - TNFRSF10B","TRAIL","Secreted Signaling","KEGG: hsa04060"
"115","B cells 1","B cells 1","TNFSF13B","TNFRSF17",1.42038356556462e-09,0,"TNFSF13B_TNFRSF17","TNFSF13B - TNFRSF17","BAFF","Secreted Signaling","KEGG: hsa04060"
"116","Hematopoietic Stem cells 1","B cells 1","TNFSF13B","TNFRSF17",2.91181851749967e-08,0,"TNFSF13B_TNFRSF17","TNFSF13B - TNFRSF17","BAFF","Secreted Signaling","KEGG: hsa04060"
"117","B cells 1","Hematopoietic Stem cells 1","TNFSF13B","TNFRSF17",2.91189130605333e-08,0,"TNFSF13B_TNFRSF17","TNFSF13B - TNFRSF17","BAFF","Secreted Signaling","KEGG: hsa04060"
